index,steps,peak
31327,178,475792
31328,54,31328
31329,59,118960
31330,59,46996
31331,59,140992
31332,59,31332
31333,59,94000
31334,59,70504
31335,85,535408
31336,54,31336
31337,59,237976
31338,54,47008
31339,147,141028
31340,59,100420
31341,59,100420
31342,59,105784
31343,253,50143264
31344,85,80512
31345,54,94036
31346,160,225988
31347,160,225988
31348,85,80512
31349,85,94048
31350,103,79360
31351,103,211624
31352,85,80512
31353,59,178576
31354,85,80512
31355,147,158740
31356,85,200932
31357,85,200932
31358,85,357208
31359,59,1205584
31360,28,31360
31361,147,133972
31362,54,47044
31363,54,141136
31364,54,31364
31365,54,94096
31366,54,70576
31367,54,211732
31368,54,31368
31369,85,268000
31370,54,47056
31371,54,141172
31372,54,35296
31373,54,94120
31374,147,201040
31375,147,317680
31376,178,190996
31377,147,94132
31378,147,79432
31379,147,141208
31380,178,190996
31381,178,190996
31382,54,70612
31383,54,211840
31384,178,190996
31385,129,105928
31386,178,190996
31387,253,2480056
31388,129,67048
31389,129,94168
31390,129,158920
31391,85,804544
31392,28,31392
31393,134,305908
31394,178,190996
31395,178,190996
31396,129,381976
31397,129,381976
31398,129,381976
31399,178,452680
31400,28,31400
31401,129,4583680
31402,28,47104
31403,59,141316
31404,85,37744
31405,85,94216
31406,85,106000
31407,85,318004
31408,85,31408
31409,103,94228
31410,103,53008
31411,103,141352
31412,85,31412
31413,85,94240
31414,85,119284
31415,85,212056
31416,85,31416
31417,103,106036
31418,85,47128
31419,284,497176
31420,85,79540
31421,85,94264
31422,85,238624
31423,108,2324752
31424,147,31424
31425,85,94276
31426,85,59668
31427,85,141424
31428,103,31428
31429,103,94288
31430,103,70720
31431,85,212164
31432,103,31432
31433,85,159136
31434,103,47152
31435,147,141460
31436,103,35368
31437,103,94312
31438,129,453256
31439,129,453256
31440,147,31440
31441,85,94324
31442,85,119392
31443,85,141496
31444,147,31444
31445,147,94336
31446,85,70756
31447,85,212272
31448,85,85048
31449,103,106144
31450,85,85048
31451,160,6980632
31452,85,85048
31453,85,94360
31454,85,179152
31455,85,477736
31456,147,31456
31457,85,268756
31458,147,47188
31459,147,141568
31460,54,31460
31461,54,94384
31462,54,70792
31463,90,6889048
31464,147,31464
31465,178,238948
31466,147,47200
31467,85,179224
31468,54,39832
31469,54,94408
31470,54,106216
31471,85,806596
31472,103,31472
31473,147,94420
31474,85,201688
31475,85,201688
31476,103,31476
31477,103,94432
31478,54,79684
31479,54,212488
31480,103,59776
31481,85,119536
31482,103,59776
31483,129,302596
31484,85,179332
31485,85,179332
31486,85,538000
31487,85,1614004
31488,54,31488
31489,116,94468
31490,116,47236
31491,116,141712
31492,147,31492
31493,147,94480
31494,147,70864
31495,85,212596
31496,129,345544
31497,85,159460
31498,129,345544
31499,85,255472
31500,129,345544
31501,129,345544
31502,147,106324
31503,147,318976
31504,28,31504
31505,129,345544
31506,103,89728
31507,103,141784
31508,28,31508
31509,28,94528
31510,129,345544
31511,129,345544
31512,28,31512
31513,85,227176
31514,28,47272
31515,85,1363048
31516,147,53188
31517,147,94552
31518,147,159568
31519,129,478708
31520,28,31520
31521,178,182068
31522,147,47284
31523,147,141856
31524,147,39904
31525,147,94576
31526,147,70936
31527,222,984148
31528,28,31528
31529,116,359152
31530,28,47296
31531,54,141892
31532,85,95956
31533,85,95956
31534,85,106432
31535,54,319300
31536,28,31536
31537,85,95956
31538,85,95956
31539,85,141928
31540,28,31540
31541,28,94624
31542,85,179656
31543,85,212920
31544,178,575728
31545,85,113704
31546,178,575728
31547,85,170584
31548,178,575728
31549,178,575728
31550,85,341152
31551,85,718792
31552,54,31552
31553,28,94660
31554,103,47332
31555,103,142000
31556,103,31556
31557,103,94672
31558,103,71008
31559,222,269620
31560,103,31560
31561,178,159784
31562,103,47344
31563,103,142036
31564,103,35512
31565,103,94696
31566,178,119860
31567,178,319624
31568,54,31568
31569,178,94708
31570,178,269728
31571,178,269728
31572,54,31572
31573,54,94720
31574,178,71044
31575,178,213136
31576,191,250504
31577,191,250504
31578,191,250504
31579,116,324160
31580,191,250504
31581,191,250504
31582,85,159892
31583,85,479680
31584,41,31584
31585,85,455380
31586,41,47380
31587,41,142144
31588,41,31588
31589,41,94768
31590,41,71080
31591,85,1214512
31592,41,31592
31593,77,239920
31594,41,47392
31595,191,250504
31596,103,59992
31597,103,94792
31598,103,106648
31599,77,359944
31600,41,31600
31601,41,94804
31602,41,53332
31603,41,142216
31604,41,31604
31605,41,94816
31606,191,250504
31607,191,250504
31608,77,45016
31609,85,270052
31610,77,47416
31611,103,547540
31612,77,120040
31613,77,120040
31614,178,911572
31615,178,1080376
31616,54,31616
31617,178,384640
31618,191,250504
31619,191,250504
31620,191,250504
31621,191,250504
31622,191,250504
31623,191,250504
31624,54,31624
31625,85,512944
31626,54,47440
31627,77,486952
31628,54,35584
31629,54,94888
31630,178,144340
31631,178,320272
31632,147,31632
31633,41,94900
31634,41,80080
31635,41,142360
31636,147,31636
31637,147,94912
31638,77,71188
31639,77,213568
31640,147,31640
31641,77,106792
31642,147,47464
31643,41,360448
31644,77,101392
31645,77,101392
31646,77,160216
31647,77,540736
31648,54,31648
31649,77,94948
31650,147,47476
31651,147,142432
31652,103,60100
31653,103,94960
31654,103,71224
31655,77,240388
31656,54,31656
31657,222,540916
31658,54,47488
31659,103,142468
31660,103,45088
31661,103,94984
31662,103,106864
31663,103,320596
31664,147,31664
31665,147,94996
31666,147,53440
31667,147,142504
31668,147,31668
31669,147,95008
31670,103,120256
31671,103,213784
31672,147,31672
31673,103,106900
31674,147,47512
31675,103,160360
31676,77,202984
31677,77,202984
31678,77,240568
31679,77,811924
31680,103,31680
31681,103,114208
31682,103,114208
31683,103,142576
31684,54,31684
31685,54,95056
31686,54,71296
31687,284,9635920
31688,54,33856
31689,103,160432
31690,54,47536
31691,54,142612
31692,54,35656
31693,54,95080
31694,59,180520
31695,59,320920
31696,103,31696
31697,54,95092
31698,59,135412
31699,59,142648
31700,103,31700
31701,103,95104
31702,59,304720
31703,59,304720
31704,54,31704
31705,54,107008
31706,54,47560
31707,103,240784
31708,54,53512
31709,54,95128
31710,222,270916
31711,222,481624
31712,103,31712
31713,222,695464
31714,103,47572
31715,103,142720
31716,147,31716
31717,147,95152
31718,147,71368
31719,165,846916
31720,103,31720
31721,129,1465108
31722,103,47584
31723,103,271024
31724,77,67768
31725,77,95176
31726,77,107080
31727,129,542104
31728,54,50848
31729,103,95188
31730,147,60244
31731,147,142792
31732,54,50848
31733,54,95200
31734,77,90376
31735,77,214216
31736,54,135592
31737,85,305044
31738,54,135592
31739,129,651544
31740,129,2316760
31741,129,2316760
31742,129,2316760
31743,222,4633504
31744,116,31744
31745,103,95236
31746,103,85840
31747,103,142864
31748,54,31748
31749,54,95248
31750,54,71440
31751,103,214324
31752,147,31752
31753,103,228904
31754,147,47632
31755,54,142900
31756,147,35728
31757,147,95272
31758,147,107188
31759,147,321568
31760,54,31760
31761,147,95284
31762,129,80404
31763,129,142936
31764,54,31764
31765,54,95296
31766,147,71476
31767,147,214432
31768,54,31768
31769,116,1100608
31770,54,47656
31771,129,610720
31772,147,53620
31773,147,95320
31774,147,160864
31775,77,610792
31776,98,31776
31777,103,95332
31778,54,47668
31779,54,143008
31780,129,50920
31781,129,95344
31782,129,71512
31783,129,241360
31784,98,31784
31785,129,362068
31786,98,47680
31787,54,143044
31788,54,35764
31789,54,95368
31790,54,107296
31791,160,321892
31792,98,31792
31793,54,95380
31794,54,53656
31795,54,143080
31796,98,31796
31797,98,95392
31798,160,619648
31799,160,619648
31800,54,31800
31801,129,107332
31802,54,47704
31803,129,161008
31804,54,80512
31805,54,95416
31806,129,343924
31807,129,724624
31808,28,31808
31809,103,95428
31810,103,86020
31811,103,143152
31812,98,31812
31813,98,95440
31814,98,71584
31815,54,214756
31816,147,31816
31817,222,2480056
31818,147,47728
31819,98,143188
31820,147,35800
31821,147,95464
31822,54,120832
31823,54,322216
31824,28,31824
31825,147,95476
31826,103,305908
31827,103,305908
31828,28,31828
31829,28,95488
31830,98,71620
31831,98,214864
31832,98,31832
31833,147,107440
31834,98,47752
31835,147,407968
31836,98,53728
31837,98,95512
31838,222,1276936
31839,222,1276936
31840,28,31840
31841,103,120904
31842,147,51028
31843,147,143296
31844,147,51028
31845,147,95536
31846,147,71656
31847,191,11927896
31848,28,31848
31849,103,241864
31850,28,47776
31851,134,516616
31852,253,497176
31853,253,497176
31854,253,497176
31855,77,871864
31856,54,31856
31857,28,95572
31858,98,53764
31859,98,143368
31860,54,31860
31861,54,95584
31862,54,80656
31863,54,215080
31864,54,40336
31865,98,181492
31866,54,47800
31867,54,161332
31868,98,121012
31869,98,121012
31870,98,363040
31871,147,1089124
31872,54,31872
31873,222,6810136
31874,54,47812
31875,54,143440
31876,54,31876
31877,54,95632
31878,54,71728
31879,235,2484916
31880,54,31880
31881,178,775636
31882,54,47824
31883,147,143476
31884,54,35872
31885,54,95656
31886,147,107620
31887,147,322864
31888,54,31888
31889,59,95668
31890,59,80728
31891,59,143512
31892,54,31892
31893,54,95680
31894,54,71764
31895,54,215296
31896,54,31896
31897,147,107656
31898,54,47848
31899,59,363364
31900,147,60568
31901,147,95704
31902,147,161512
31903,191,1226500
31904,54,31904
31905,160,560356
31906,54,47860
31907,54,143584
31908,54,90880
31909,54,95728
31910,54,90880
31911,160,121012864
31912,54,31912
31913,147,817936
31914,54,47872
31915,98,143620
31916,54,35908
31917,54,95752
31918,54,107728
31919,59,323188
31920,54,31920
31921,98,95764
31922,98,53872
31923,98,143656
31924,54,31924
31925,54,95776
31926,98,136384
31927,98,215512
31928,54,31928
31929,98,107764
31930,54,47896
31931,98,517912
31932,54,80836
31933,54,95800
31934,54,242512
31935,222,776932
31936,54,31936
31937,191,138400
31938,191,138400
31939,191,143728
31940,54,31940
31941,54,95824
31942,54,71872
31943,98,215620
31944,54,31944
31945,191,161728
31946,54,47920
31947,191,143764
31948,54,35944
31949,54,95848
31950,98,272968
31951,98,323512
31952,54,31952
31953,98,345544
31954,98,345544
31955,98,345544
31956,54,31956
31957,54,95872
31958,54,71908
31959,54,215728
31960,85,45520
31961,85,107872
31962,85,47944
31963,147,242728
31964,85,53944
31965,85,95896
31966,147,182068
31967,147,485512
31968,54,31968
31969,147,409696
31970,54,47956
31971,54,143872
31972,85,31972
31973,85,95920
31974,85,71944
31975,191,364228
31976,54,31976
31977,191,242836
31978,54,47968
31979,98,875284
31980,54,40480
31981,54,95944
31982,54,107944
31983,160,1844368
31984,54,31984
31985,54,95956
31986,191,91096
31987,191,143944
31988,54,31988
31989,54,95968
31990,54,80980
31991,54,215944
31992,191,129760
31993,191,121480
31994,191,129760
31995,98,778408
31996,191,182248
31997,191,182248
31998,98,2335444
31999,98,2335444
32000,116,32000
32001,147,96004
32002,147,102544
32003,147,144016
32004,54,32004
32005,54,96016
32006,54,72016
32007,183,1052512
32008,46,32008
32009,85,162052
32010,46,48016
32011,85,144052
32012,46,36016
32013,46,96040
32014,85,108052
32015,85,324160
32016,54,32016
32017,46,96052
32018,72,153880
32019,72,153880
32020,54,32020
32021,54,96064
32022,46,72052
32023,46,216160
32024,54,32024
32025,85,108088
32026,54,48040
32027,253,2134996
32028,46,68416
32029,46,96088
32030,46,162160
32031,46,486484
32032,147,32032
32033,46,96100
32034,46,48052
32035,46,144160
32036,46,40552
32037,46,96112
32038,46,72088
32039,46,243304
32040,147,32040
32041,98,584656
32042,147,48064
32043,72,144196
32044,54,36052
32045,54,96136
32046,54,108160
32047,72,1039552
32048,147,32048
32049,98,96148
32050,98,61720
32051,98,144232
32052,147,32052
32053,147,96160
32054,98,205396
32055,98,216376
32056,46,32056
32057,129,462184
32058,46,48088
32059,54,162304
32060,46,81160
32061,46,96184
32062,98,410884
32063,98,730456
32064,116,32064
32065,147,96196
32066,46,48100
32067,46,144304
32068,147,32068
32069,147,96208
32070,147,72160
32071,85,410992
32072,160,250504
32073,147,162376
32074,160,250504
32075,147,144340
32076,160,250504
32077,160,250504
32078,98,208384
32079,98,324808
32080,116,32080
32081,160,250504
32082,103,1040740
32083,103,1040740
32084,116,32084
32085,116,96256
32086,72,494080
32087,72,494080
32088,191,32560
32089,54,108304
32090,191,48136
32091,72,520504
32092,191,54160
32093,191,96280
32094,98,164752
32095,98,487456
32096,46,32096
32097,191,121876
32098,46,48148
32099,46,144448
32100,46,32100
32101,46,96304
32102,46,72232
32103,103,925648
32104,46,32104
32105,191,243808
32106,46,48160
32107,191,144484
32108,191,146500
32109,191,146500
32110,191,146500
32111,191,365776
32112,46,32112
32113,46,96340
32114,54,54196
32115,54,144520
32116,46,32116
32117,46,96352
32118,54,81304
32119,54,216808
32120,46,40660
32121,253,9635920
32122,46,48184
32123,85,162628
32124,46,121984
32125,46,121984
32126,235,365956
32127,235,1097872
32128,72,32128
32129,98,96388
32130,46,48196
32131,46,144592
32132,98,34324
32133,98,96400
32134,98,72304
32135,46,216916
32136,28,32136
32137,46,183040
32138,28,48208
32139,98,144628
32140,28,36160
32141,28,96424
32142,46,108484
32143,46,325456
32144,28,32144
32145,191,96436
32146,191,81376
32147,191,144664
32148,28,32148
32149,28,96448
32150,191,77272
32151,191,217024
32152,28,32152
32153,191,108520
32154,28,48232
32155,98,366280
32156,191,695464
32157,191,695464
32158,191,695464
32159,72,1564756
32160,72,32160
32161,147,96484
32162,98,48244
32163,98,144736
32164,98,61072
32165,98,96496
32166,98,72376
32167,46,244276
32168,72,32168
32169,147,549664
32170,72,48256
32171,46,144772
32172,54,36196
32173,54,96520
32174,54,108592
32175,98,325780
32176,46,32176
32177,46,96532
32178,46,54304
32179,46,144808
32180,46,32180
32181,46,96544
32182,98,122200
32183,98,217240
32184,46,32184
32185,46,108628
32186,46,48280
32187,46,162952
32188,46,91672
32189,46,96568
32190,46,244456
32191,147,1856356
32192,72,32192
32193,46,96580
32194,46,137536
32195,46,144880
32196,72,32196
32197,72,96592
32198,72,72448
32199,46,217348
32200,72,32200
32201,46,163024
32202,72,48304
32203,85,144916
32204,72,36232
32205,72,96616
32206,85,206368
32207,85,326104
32208,72,32208
32209,72,96628
32210,46,122308
32211,46,144952
32212,72,32212
32213,72,96640
32214,46,91744
32215,46,217456
32216,72,32216
32217,72,108736
32218,72,48328
32219,191,244672
32220,72,54376
32221,72,96664
32222,147,412936
32223,147,489400
32224,98,39364
32225,98,392020
32226,72,48340
32227,72,145024
32228,129,176740
32229,129,176740
32230,129,176740
32231,129,367144
32232,98,39364
32233,85,275380
32234,98,48352
32235,129,619648
32236,54,40804
32237,54,96712
32238,54,108808
32239,129,550852
32240,98,39364
32241,98,96724
32242,98,61216
32243,98,145096
32244,98,39364
32245,98,96736
32246,191,137752
32247,191,217672
32248,98,103336
32249,98,122452
32250,98,103336
32251,98,183688
32252,98,275560
32253,98,275560
32254,191,2092552
32255,191,2480056
32256,116,32256
32257,98,155032
32258,72,48388
32259,72,145168
32260,72,32260
32261,72,96784
32262,72,72592
32263,98,217780
32264,72,32264
32265,98,163348
32266,72,48400
32267,72,145204
32268,72,36304
32269,72,96808
32270,72,108916
32271,72,326752
32272,72,32272
32273,72,96820
32274,191,209680
32275,191,209680
32276,72,32276
32277,72,96832
32278,191,1276936
32279,191,1276936
32280,72,32280
32281,191,1276936
32282,72,48424
32283,103,551608
32284,72,54484
32285,72,96856
32286,72,163456
32287,85,1047328
32288,116,32288
32289,103,314656
32290,72,48436
32291,72,145312
32292,98,118096
32293,98,118096
32294,98,118096
32295,72,245248
32296,116,32296
32297,103,785752
32298,116,48448
32299,72,145348
32300,72,36340
32301,72,96904
32302,72,109024
32303,98,620944
32304,116,32304
32305,191,1276936
32306,191,1276936
32307,191,1276936
32308,116,32308
32309,116,96928
32310,103,1048120
32311,103,1048120
32312,147,32776
32313,253,1119472
32314,147,48472
32315,72,163600
32316,147,81808
32317,147,96952
32318,191,6810136
32319,191,6810136
32320,67,32320
32321,147,96964
32322,147,48484
32323,147,145456
32324,147,65608
32325,147,96976
32326,147,72736
32327,85,262168
32328,147,65608
32329,85,196648
32330,147,65608
32331,147,145492
32332,147,65608
32333,147,97000
32334,72,122776
32335,72,327400
32336,67,32336
32337,147,97012
32338,147,184192
32339,147,184192
32340,67,32340
32341,67,97024
32342,147,72772
32343,147,218320
32344,28,32344
32345,129,560356
32346,28,48520
32347,147,276352
32348,28,54592
32349,28,97048
32350,147,163780
32351,147,491344
32352,67,32352
32353,129,897856
32354,28,48532
32355,28,145600
32356,28,32356
32357,28,97072
32358,28,72808
32359,191,552904
32360,67,32360
32361,253,5314408
32362,67,48544
32363,191,145636
32364,191,92176
32365,191,97096
32366,191,109240
32367,191,368692
32368,160,32368
32369,67,97108
32370,54,54628
32371,54,145672
32372,160,32372
32373,160,97120
32374,160,81952
32375,160,218536
32376,160,40984
32377,191,184408
32378,160,48568
32379,160,163924
32380,116,599056
32381,116,599056
32382,116,599056
32383,98,2801140
32384,116,32384
32385,54,207520
32386,67,48580
32387,67,145744
32388,67,32388
32389,67,97168
32390,67,72880
32391,72,218644
32392,67,32392
32393,191,311344
32394,67,48592
32395,67,145780
32396,67,36448
32397,67,97192
32398,160,138400
32399,160,328048
32400,160,32400
32401,67,97204
32402,67,82024
32403,67,145816
32404,160,32404
32405,160,97216
32406,67,72916
32407,67,218752
32408,160,32408
32409,160,109384
32410,160,48616
32411,129,665332
32412,191,61540
32413,191,97240
32414,191,164104
32415,266,830788
32416,116,32416
32417,67,97252
32418,160,48628
32419,160,145888
32420,72,155824
32421,72,155824
32422,72,155824
32423,160,277000
32424,116,32424
32425,191,4733152
32426,116,48640
32427,191,295864
32428,67,36484
32429,67,97288
32430,67,109456
32431,72,328372
32432,160,32432
32433,67,97300
32434,67,54736
32435,67,145960
32436,160,32436
32437,160,97312
32438,191,374596
32439,191,374596
32440,160,32440
32441,147,109492
32442,160,48664
32443,147,164248
32444,67,82132
32445,67,97336
32446,67,246400
32447,152,1052512
32448,41,32448
32449,160,97348
32450,160,69316
32451,160,146032
32452,116,32452
32453,116,97360
32454,116,73024
32455,160,219076
32456,116,32456
32457,160,164320
32458,116,48688
32459,72,156004
32460,116,36520
32461,116,97384
32462,191,1404052
32463,191,1404052
32464,41,32464
32465,160,97396
32466,160,123280
32467,160,146104
32468,41,32468
32469,41,97408
32470,67,73060
32471,67,219184
32472,67,32472
32473,67,109600
32474,67,48712
32475,85,296296
32476,67,54808
32477,67,97432
32478,85,184984
32479,85,493288
32480,41,32480
32481,67,277504
32482,41,48724
32483,41,146176
32484,41,32484
32485,41,97456
32486,41,73096
32487,160,416320
32488,41,32488
32489,67,246724
32490,41,48736
32491,67,185056
32492,41,41128
32493,41,97480
32494,41,109672
32495,85,4002208
32496,67,34720
32497,41,97492
32498,98,138832
32499,98,146248
32500,67,34720
32501,67,97504
32502,98,82276
32503,98,219400
32504,67,61720
32505,67,123424
32506,67,61720
32507,152,395440
32508,191,400948
32509,191,400948
32510,191,555496
32511,85,4745608
32512,54,32512
32513,41,97540
32514,72,48772
32515,72,146320
32516,41,32516
32517,41,97552
32518,41,73168
32519,72,219508
32520,129,250504
32521,67,208384
32522,129,250504
32523,72,146356
32524,129,250504
32525,129,250504
32526,41,109780
32527,41,329344
32528,116,32528
32529,129,250504
32530,160,131920
32531,160,146392
32532,116,32532
32533,116,97600
32534,129,250504
32535,129,250504
32536,116,32536
32537,98,593728
32538,116,48808
32539,152,3166504
32540,67,54916
32541,67,97624
32542,67,164752
32543,72,494260
32544,160,32544
32545,160,97636
32546,160,48820
32547,160,146464
32548,160,41200
32549,160,97648
32550,160,73240
32551,72,247192
32552,160,32552
32553,160,370816
32554,160,48832
32555,160,146500
32556,116,36628
32557,116,97672
32558,116,109888
32559,160,329668
32560,160,32560
32561,116,97684
32562,116,54952
32563,116,146536
32564,160,32564
32565,160,97696
32566,204,225988
32567,204,225988
32568,160,46384
32569,160,109924
32570,160,48856
32571,160,164896
32572,160,82456
32573,160,97720
32574,160,278296
32575,160,742120
32576,54,32576
32577,160,97732
32578,41,48868
32579,41,146608
32580,160,32580
32581,160,97744
32582,160,73312
32583,222,278368
32584,98,223072
32585,41,164968
32586,98,223072
32587,160,146644
32588,98,223072
32589,98,223072
32590,98,123748
32591,98,329992
32592,54,32592
32593,98,223072
32594,98,313288
32595,98,313288
32596,54,32596
32597,54,97792
32598,41,73348
32599,41,220048
32600,160,39184
32601,160,110032
32602,160,48904
32603,191,313360
32604,160,55024
32605,160,97816
32606,160,165076
32607,160,495232
32608,67,32608
32609,173,176308
32610,116,48916
32611,116,146752
32612,116,32612
32613,116,97840
32614,116,73384
32615,178,27114424
32616,67,32616
32617,160,247696
32618,67,48928
32619,160,146788
32620,129,61936
32621,129,97864
32622,129,110104
32623,160,371608
32624,67,32624
32625,67,97876
32626,116,55060
32627,116,146824
32628,67,32628
32629,67,97888
32630,116,82600
32631,116,220264
32632,67,69712
32633,160,278800
32634,67,69712
32635,160,165220
32636,67,123928
32637,67,123928
32638,129,954016
32639,129,1115368
32640,54,32640
32641,67,97924
32642,67,48964
32643,67,146896
32644,178,8153620
32645,178,8153620
32646,178,8153620
32647,67,220372
32648,54,32648
32649,129,185956
32650,54,48976
32651,178,8153620
32652,54,36736
32653,54,97960
32654,191,110212
32655,191,330640
32656,67,32656
32657,191,97972
32658,191,82672
32659,191,146968
32660,67,32660
32661,67,97984
32662,116,73492
32663,116,220480
32664,67,32664
32665,116,110248
32666,67,49000
32667,67,372112
32668,160,93040
32669,160,98008
32670,160,165400
32671,173,558232
32672,54,32672
32673,67,98020
32674,67,49012
32675,67,147040
32676,67,104704
32677,67,104704
32678,67,104704
32679,129,248164
32680,54,32680
32681,129,2417848
32682,54,49024
32683,160,147076
32684,98,176740
32685,98,176740
32686,98,176740
32687,67,330964
32688,160,44224
32689,54,98068
32690,54,55168
32691,54,147112
32692,160,44224
32693,160,98080
32694,160,124144
32695,160,220696
32696,160,44224
32697,116,110356
32698,160,49048
32699,116,165544
32700,147,149200
32701,147,149200
32702,147,248344
32703,98,1132864
32704,67,39364
32705,160,98116
32706,72,157192
32707,72,157192
32708,54,32708
32709,54,98128
32710,54,73600
32711,160,220804
32712,67,32712
32713,129,283336
32714,67,49072
32715,54,147220
32716,67,36808
32717,67,98152
32718,160,398032
32719,160,398032
32720,67,39364
32721,67,98164
32722,160,209680
32723,160,209680
32724,67,39364
32725,67,98176
32726,72,235924
32727,72,235924
32728,129,95956
32729,54,110464
32730,129,95956
32731,129,255472
32732,129,95956
32733,129,98200
32734,191,279664
32735,191,497176
32736,67,118096
32737,72,314656
32738,67,49108
32739,67,147328
32740,129,95956
32741,129,98224
32742,129,95956
32743,67,372976
32744,67,118096
32745,191,419632
32746,67,118096
32747,72,472120
32748,129,95956
32749,129,98248
32750,129,110536
32751,129,3025348
32752,160,1276936
32753,67,118096
32754,72,112084
32755,72,147400
32756,160,1276936
32757,160,1276936
32758,173,1702276
32759,173,1702276
32760,160,1276936
32761,160,359152
32762,160,1276936
32763,160,359152
32764,160,6810136
32765,160,6810136
32766,160,9565936
32767,129,28697812
32768,15,32768
32769,98,98308
32770,54,49156
32771,54,147472
32772,54,32772
32773,54,98320
32774,54,73744
32775,54,221236
32776,116,32776
32777,54,165940
32778,116,49168
32779,54,147508
32780,116,36880
32781,116,98344
32782,54,110644
32783,54,331936
32784,160,32784
32785,116,98356
32786,54,82996
32787,54,147544
32788,160,32788
32789,160,98368
32790,116,73780
32791,116,221344
32792,160,32792
32793,54,110680
32794,160,49192
32795,98,560356
32796,116,55348
32797,116,98392
32798,116,166048
32799,98,709288
32800,41,32800
32801,235,250504
32802,160,49204
32803,160,147616
32804,116,41524
32805,116,98416
32806,116,73816
32807,235,250504
32808,41,32808
32809,222,539440
32810,41,49216
32811,85,147652
32812,160,36916
32813,160,98440
32814,160,110752
32815,147,479572
32816,41,32816
32817,98,98452
32818,98,55384
32819,98,147688
32820,41,32820
32821,41,98464
32822,67,280420
32823,67,280420
32824,160,32824
32825,98,110788
32826,160,49240
32827,98,166192
32828,160,83104
32829,160,98488
32830,85,599056
32831,85,747952
32832,41,32832
32833,116,98500
32834,116,49252
32835,116,147760
32836,41,32836
32837,41,98512
32838,41,73888
32839,85,399472
32840,160,32840
32841,98,210436
32842,160,49264
32843,41,147796
32844,160,36952
32845,160,98536
32846,160,124720
32847,160,332584
32848,41,32848
32849,160,98548
32850,98,187108
32851,98,187108
32852,41,32852
32853,41,98560
32854,160,73924
32855,160,221776
32856,41,32856
32857,160,110896
32858,41,49288
32859,160,631636
32860,41,55456
32861,41,98584
32862,222,236896
32863,222,499120
32864,41,32864
32865,98,899584
32866,160,49300
32867,160,147904
32868,160,32868
32869,160,98608
32870,160,73960
32871,121,561652
32872,41,32872
32873,160,249640
32874,41,49312
32875,191,355480
32876,191,399976
32877,191,399976
32878,191,399976
32879,191,5399296
32880,41,32880
32881,41,98644
32882,191,55492
32883,191,147976
32884,41,32884
32885,41,98656
32886,191,83248
32887,191,221992
32888,41,41632
32889,147,1200256
32890,41,49336
32891,121,320488
32892,191,150064
32893,191,150064
32894,191,374704
32895,160,1124116
32896,129,32896
32897,98,675376
32898,116,49348
32899,116,148048
32900,116,32900
32901,116,98704
32902,116,74032
32903,160,222100
32904,41,32904
32905,191,421684
32906,41,49360
32907,160,148084
32908,41,37024
32909,41,98728
32910,160,158164
32911,160,333232
32912,116,32912
32913,266,975400
32914,266,975400
32915,266,975400
32916,116,32916
32917,116,98752
32918,41,74068
32919,41,222208
32920,116,32920
32921,54,111112
32922,116,49384
32923,160,375028
32924,54,62512
32925,54,98776
32926,54,166696
32927,98,1898800
32928,129,32928
32929,147,534112
32930,116,49396
32931,116,148192
32932,147,93796
32933,147,98800
32934,147,93796
32935,160,1424464
32936,129,32936
32937,98,844180
32938,129,49408
32939,147,148228
32940,116,37060
32941,116,98824
32942,116,111184
32943,147,333556
32944,41,32944
32945,116,98836
32946,116,55600
32947,116,148264
32948,41,32948
32949,41,98848
32950,98,400840
32951,98,400840
32952,41,32952
32953,121,111220
32954,41,49432
32955,121,166840
32956,160,400948
32957,160,400948
32958,160,400948
32959,121,750868
32960,129,32960
32961,98,98884
32962,98,79216
32963,98,148336
32964,67,32964
32965,67,98896
32966,67,74176
32967,98,237652
32968,67,32968
32969,41,166912
32970,67,49456
32971,160,148372
32972,67,37096
32973,67,98920
32974,98,281716
32975,98,333880
32976,129,32976
32977,160,98932
32978,160,125224
32979,160,148408
32980,129,32980
32981,129,98944
32982,67,118888
32983,67,222640
32984,98,70468
32985,67,111328
32986,98,70468
32987,98,250504
32988,98,70468
32989,98,98968
32990,147,1605256
32991,147,1605256
32992,41,32992
32993,147,634228
32994,129,49492
32995,129,148480
32996,67,32996
32997,67,98992
32998,67,74248
32999,116,375892
33000,41,33000
33001,191,338740
33002,41,49504
33003,72,187972
33004,67,41776
33005,67,99016
33006,67,111400
33007,72,1268944
33008,41,33008
33009,41,99028
33010,72,237976
33011,72,237976
33012,41,33012
33013,41,99040
33014,72,100420
33015,72,222856
33016,173,225988
33017,72,125368
33018,173,225988
33019,266,50143264
33020,173,225988
33021,173,225988
33022,72,564244
33023,72,1692736
33024,129,33024
33025,98,99076
33026,98,80512
33027,98,148624
33028,191,190996
33029,191,190996
33030,191,190996
33031,160,222964
33032,191,190996
33033,98,200932
33034,191,190996
33035,41,148660
33036,191,190996
33037,191,190996
33038,67,111508
33039,67,334528
33040,129,33040
33041,191,190996
33042,67,211732
33043,67,211732
33044,129,33044
33045,129,99136
33046,67,74356
33047,67,223072
33048,129,33048
33049,67,111544
33050,129,49576
33051,160,2035348
33052,160,79432
33053,160,99160
33054,160,167344
33055,160,502036
33056,160,33056
33057,191,190996
33058,142,67048
33059,142,148768
33060,142,67048
33061,142,99184
33062,142,74392
33063,142,251080
